run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual,representation,protocol_version,match_group,final_Q2,mean_Q2,final_Q2_given_r1,mean_Q2_given_r1,t_r1_gt_0.5_first_passage,t_r1_gt_0.9_first_passage,t_r1_gt_0.9_sustained,locking,sustained_lock,cluster_phenotype
N17_K+0_s4,17,0.0,4,2026089460,0.2998834987309756,0.06560210525579906,0.3230477536380711,0.18670453203525036,0.17716050052560056,0.17409096293395568,nan,nan,0.1453990079403768,0.9994117647058823,0.000588235294117647,0.019411764705882354,-5.714383214982423e-18,8.163404592832033e-19,8.163404592832033e-19,-6.530723674265627e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.2342813934751765,-0.009544031509649803,-0.024328007555331974,0.14230191824309874,nan,nan,nan,0,0,low_polar_active
N17_K+0_s5,17,0.0,5,2026089470,0.09536776832902186,0.19522466334863048,0.06572645328903085,0.1629596864718964,0.29955265460809943,0.22929472278361374,nan,nan,-0.0059431576583150215,1.0,0.0,0.06235294117647059,-2.44902137784961e-18,8.163404592832033e-19,8.163404592832033e-19,-3.2653618371328133e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,0.09985689501960862,0.13659296813620303,0.18612965211257249,0.2729967951930807,nan,nan,nan,0,0,low_polar_active
N17_K+0.08_s0,17,0.08,0,2026089500,0.9982511674344361,0.9930175981659491,0.9843379749986025,0.8805257899033687,0.8403847481367344,0.8088594028020544,8.0,31.0,0.09393072291422094,0.97,0.03,-0.054705882352941174,-0.004376470588235292,8.163404592832033e-19,-0.004376470588235293,8.673617379884035e-19,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.005233569268486948,-0.040141041766634356,-0.0034877951182654687,0.06505908145178296,8.0,31.0,31.0,1,1,polar_locked
N17_K+0.08_s1,17,0.08,1,2026089510,0.9990286998145697,0.996118803822985,0.9912823202016416,0.8680441423911931,0.7786352035227563,0.7759508777926478,10.0,33.0,0.09831457086402998,0.971764705882353,0.02823529411764706,0.00823529411764706,0.0006588235294117762,8.163404592832033e-19,0.0006588235294117656,1.0625181290357943e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.0029098959915846434,-0.08940893886843682,-0.0019395392302045122,0.025134570383094412,10.0,33.0,33.0,1,1,polar_locked
N17_K+0.08_s2,17,0.08,2,2026089520,0.9987225534545039,0.9948964846321474,0.9885405716926577,0.9367225181065463,0.9015004821386168,0.875492763735834,3.0,22.0,0.0706764331798166,0.9664705882352941,0.033529411764705884,-0.061764705882352944,-0.004941176470588243,8.163404592832033e-19,-0.004941176470588234,-8.673617379884035e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.0038260688223564765,-0.0352220359679295,-0.002550254146536979,0.02405140621074786,3.0,22.0,22.0,1,1,polar_locked
N17_K+0.08_s3,17,0.08,3,2026089530,0.9987127769489096,0.9948585115339483,0.9884593827746908,0.9431509694539818,0.874782962598676,0.8447843582682291,4.0,16.0,0.0823137139624096,0.9611764705882353,0.03882352941176471,-0.01411764705882353,-0.0011294117647058606,8.163404592832033e-19,-0.0011294117647058816,2.1033522146218786e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.0038542654149612554,-0.06836800685530575,-0.0025686993070540565,-0.014750788583309693,4.0,16.0,16.0,1,1,polar_locked
N17_K+0.08_s4,17,0.08,4,2026089540,0.9986298141217859,0.9945272586033793,0.9877162835043128,0.9217860554505671,0.8543852127330399,0.8380248988977478,5.0,24.0,0.08273246493680265,0.9664705882352941,0.033529411764705884,0.0029411764705882353,0.0002352941176470331,8.163404592832033e-19,0.00023529411764705964,-2.653584817158272e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.004102555518406548,-0.06740084271752722,-0.0027342470495332893,0.004695680709923877,5.0,24.0,24.0,1,1,polar_locked
N17_K+0.08_s5,17,0.08,5,2026089550,0.998619373014853,0.9944859137334409,0.9876248405038487,0.9086288975906318,0.8409199831376668,0.8223922535456261,6.0,27.0,0.09594344955755565,0.9694117647058823,0.03058823529411765,0.009411764705882352,0.0007529411764705974,8.163404592832033e-19,0.000752941176470589,8.348356728138384e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.004133459281412177,-0.06770891445296501,-0.00275473842713736,0.015313509600899944,6.0,27.0,27.0,1,1,polar_locked
N17_K+0.15_s0,17,0.15,0,2026089570,0.9942865021397213,0.9772619819218081,0.9492725188371934,0.9216875034106187,0.9037824473387945,0.8757118735108762,5.0,21.0,0.08718333034950272,0.96,0.04,-0.004705882352941176,-0.0007058823529411817,8.163404592832033e-19,-0.0007058823529411755,-6.179952383167375e-18,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.01702452021791312,-0.017905056071824133,-0.011343666415433828,0.05427459339549534,5.0,21.0,21.0,1,1,polar_locked
N17_K+0.15_s1,17,0.15,1,2026089580,0.9943814433961379,0.9776477994995604,0.9501620660048468,0.9432663782800312,0.9115292507365416,0.8725743017791886,4.0,18.0,0.1239355754550052,0.9623529411764706,0.03764705882352941,-0.04941176470588235,-0.007411764705882397,8.163404592832033e-19,-0.007411764705882351,-4.597017211338539e-17,moments_m1_m3,matched-rep-collective-v0.1-moments,matched_rep_collective_v0_1,-0.0167336438965775,-0.031737127543489674,-0.011146655471026223,0.021777790343014525,4.0,18.0,18.0,1,1,polar_locked
