run_id,n_agents,coupling,seed_index,init_seed,final_r1,final_r2,final_r3,mean_r1,mean_r2,mean_r3,t_r1_gt_0.5,t_r1_gt_0.9,early_growth_r1,mean_activity,mean_p_stay_emp,mean_tau_social,omega_coll,mean_omega,omega_coll_predicted,engine_residual
N17_K-0.15_s0,17,-0.15,0,2026089570,0.0735988503850459,0.1319975729092332,0.24308852950696713,0.059212408897480744,0.12354922508873656,0.17777391611773916,nan,nan,-0.18999709760452388,0.8782352941176471,0.12176470588235294,-0.04764705882352941,0.007147058823529402,8.163404592832033e-19,0.007147058823529412,-9.540979117872439e-18
N17_K-0.15_s1,17,-0.15,1,2026089580,0.061263009884183366,0.10359392487949219,0.07707626453692971,0.047647891103433995,0.14387367233948545,0.12747514423796882,nan,nan,-0.10339111564070458,0.8705882352941177,0.12941176470588237,-0.03882352941176471,0.005823529411764674,8.163404592832033e-19,0.0058235294117647066,-3.2959746043559335e-17
N17_K-0.15_s2,17,-0.15,2,2026089590,0.043575112008095336,0.08652804621677809,0.3239295697199907,0.045027523191985885,0.10653008264359891,0.14337057404547462,nan,nan,-0.036401781034980644,0.8811764705882353,0.1188235294117647,-0.021176470588235293,0.0031764705882353053,8.163404592832033e-19,0.003176470588235295,1.0408340855860843e-17
N17_K-0.15_s3,17,-0.15,3,2026089600,0.024220297217897736,0.10624253264762964,0.11185037700971409,0.053523023514528506,0.13291330846270843,0.16296150869126452,nan,nan,-0.2500184719044039,0.8847058823529412,0.11529411764705882,-0.03176470588235294,0.004764705882352959,8.163404592832033e-19,0.004764705882352942,1.734723475976807e-17
N17_K-0.15_s4,17,-0.15,4,2026089610,0.041089823875027166,0.11197964299611032,0.09608713985099165,0.06308196625189884,0.11395009044568102,0.1673186612553831,nan,nan,-0.30714104579003904,0.9,0.1,-0.01647058823529412,0.002470588235294114,8.163404592832033e-19,0.0024705882352941185,-4.336808689942018e-18
N17_K-0.15_s5,17,-0.15,5,2026089620,0.03048855244974256,0.16220029515552273,0.2391562063927277,0.05481966232345295,0.12525029255202522,0.1651149631116075,nan,nan,-0.06300974446804047,0.8805882352941177,0.11941176470588236,-0.04294117647058823,0.006441176470588236,8.163404592832033e-19,0.006441176470588236,0.0
N17_K+0_s0,17,0.0,0,2026089420,0.34045710390617334,0.3051331451711161,0.27091310513713956,0.3104252282696228,0.21755246038062664,0.19623976748937125,nan,nan,0.02487552844278232,0.9705882352941176,0.029411764705882353,0.06588235294117648,7.34706413354883e-18,8.163404592832033e-19,8.163404592832033e-19,6.530723674265627e-18
N17_K+0_s1,17,0.0,1,2026089430,0.276576368782621,0.40753604980876523,0.31563055230295,0.12172592537628434,0.20793069622034768,0.24053975364952962,nan,nan,0.02066800098759493,0.9276470588235294,0.07235294117647059,-0.07705882352941176,6.530723674265627e-18,8.163404592832033e-19,8.163404592832033e-19,5.714383214982423e-18
N17_K+0_s2,17,0.0,2,2026089440,0.20216605824044534,0.13365084096565613,0.27926292378058604,0.2706309941090106,0.19411747046939998,0.21739605776608797,nan,nan,0.008151929307576938,0.9688235294117648,0.031176470588235295,-0.01,-2.693923515634571e-17,8.163404592832033e-19,8.163404592832033e-19,-2.7755575615628914e-17
N17_K+0_s3,17,0.0,3,2026089450,0.13520809885800777,0.2644237744919401,0.13576354442974456,0.3385709747670902,0.20640588154466655,0.16756706413084174,18.0,nan,0.017194582612444647,0.9629411764705882,0.03705882352941176,0.10647058823529412,1.9184000793155278e-17,8.163404592832033e-19,8.163404592832033e-19,1.8367660333872075e-17
N17_K+0_s4,17,0.0,4,2026089460,0.2998834987309756,0.06560210525579906,0.3230477536380711,0.18670453203525036,0.17716050052560056,0.17409096293395568,nan,nan,0.1453990079403768,0.951764705882353,0.04823529411764706,-0.021176470588235293,-5.714383214982423e-18,8.163404592832033e-19,8.163404592832033e-19,-6.530723674265627e-18
N17_K+0_s5,17,0.0,5,2026089470,0.09536776832902186,0.19522466334863048,0.06572645328903085,0.1629596864718964,0.29955265460809943,0.22929472278361374,nan,nan,-0.0059431576583150215,0.9352941176470588,0.06470588235294118,-0.07058823529411765,-2.44902137784961e-18,8.163404592832033e-19,8.163404592832033e-19,-3.2653618371328133e-18
N17_K+0.08_s0,17,0.08,0,2026089500,0.7223509898768539,0.674604105808626,0.44873657607842077,0.6702616973832461,0.5426215409026209,0.4608092134017272,13.0,nan,0.08245647770772957,0.9770588235294118,0.022941176470588236,0.12529411764705883,0.010023529411764698,8.163404592832033e-19,0.010023529411764707,-8.673617379884035e-18
